sketch,d,w,tamano,mae,mre
CS,3,500,6000,341.751,279.272
CS,3,1000,12000,40.3647,32.8126
CS,3,2000,24000,29.5612,23.9319
CS,3,5000,60000,18.6087,14.8358
CS,3,10000,120000,13.5346,10.5593
CS,5,500,10000,46.7192,38.037
CS,5,1000,20000,32.6087,26.4385
CS,5,2000,40000,23.7611,19.1336
CS,5,5000,100000,15.1399,11.9197
CS,5,10000,200000,11.1445,8.50538
CS,7,500,14000,40.4971,32.9274
CS,7,1000,28000,28.1948,22.7986
CS,7,2000,56000,20.4228,16.3588
CS,7,5000,140000,13.1401,10.2218
CS,7,10000,280000,9.76297,7.29867
CS,3,20000,240000,54.3898,44.3922
CS,3,35000,420000,7.93345,5.66838
CS,5,20000,400000,8.32628,6.02306
CS,5,35000,700000,6.72504,4.57008
CS,7,20000,560000,7.38853,5.17674
CS,7,35000,980000,6.0556,3.95358
