sketch,d,w8,w16,w32,tamano,mae,mre
TS,3,20000,5000,2000,114000,134.858,112.235
TS,3,20000,5000,5000,150000,134.858,112.235
TS,3,20000,10000,2000,144000,134.858,112.235
TS,3,20000,10000,5000,180000,134.858,112.235
TS,3,30000,5000,2000,144000,88.7242,74.3425
TS,3,30000,5000,5000,180000,88.7242,74.3425
TS,3,30000,10000,2000,174000,88.7242,74.3425
TS,3,30000,10000,5000,210000,88.7242,74.3425
TS,3,50000,5000,2000,204000,51.8393,44.0452
TS,3,50000,5000,5000,240000,51.8393,44.0452
TS,3,50000,10000,2000,234000,51.8393,44.0452
TS,3,50000,10000,5000,270000,51.8393,44.0452
TS,3,75000,5000,2000,279000,33.4122,28.9073
TS,3,75000,5000,5000,315000,33.4122,28.9073
TS,3,75000,10000,2000,309000,33.4122,28.9073
TS,3,75000,10000,5000,345000,33.4122,28.9073
TS,3,100000,5000,2000,354000,24.2105,21.3454
TS,3,100000,5000,5000,390000,24.2105,21.3454
TS,3,100000,10000,2000,384000,24.2105,21.3454
TS,3,100000,10000,5000,420000,24.2105,21.3454
TS,5,20000,5000,2000,190000,109.313,91.2543
TS,5,20000,5000,5000,250000,109.313,91.2543
TS,5,20000,10000,2000,240000,109.313,91.2543
TS,5,20000,10000,5000,300000,109.313,91.2543
TS,5,30000,5000,2000,240000,71.6559,60.3235
TS,5,30000,5000,5000,300000,71.6559,60.3235
TS,5,30000,10000,2000,290000,71.6559,60.3235
TS,5,30000,10000,5000,350000,71.6559,60.3235
TS,5,50000,5000,2000,340000,41.5771,35.6163
TS,5,50000,5000,5000,400000,41.5771,35.6163
TS,5,50000,10000,2000,390000,41.5771,35.6163
TS,5,50000,10000,5000,450000,41.5771,35.6163
TS,5,75000,5000,2000,465000,26.5578,23.2766
TS,5,75000,5000,5000,525000,26.5578,23.2766
TS,5,75000,10000,2000,515000,26.5578,23.2766
TS,5,75000,10000,5000,575000,26.5578,23.2766
TS,5,100000,5000,2000,590000,19.0593,17.1132
TS,5,100000,5000,5000,650000,19.0593,17.1132
TS,5,100000,10000,2000,640000,19.0593,17.1132
TS,5,100000,10000,5000,700000,19.0593,17.1132
TS,7,20000,5000,2000,266000,96.8252,80.9972
TS,7,20000,5000,5000,350000,96.8252,80.9972
TS,7,20000,10000,2000,336000,96.8252,80.9972
TS,7,20000,10000,5000,420000,96.8252,80.9972
TS,7,30000,5000,2000,336000,63.3566,53.5069
TS,7,30000,5000,5000,420000,63.3566,53.5069
TS,7,30000,10000,2000,406000,63.3566,53.5069
TS,7,30000,10000,5000,490000,63.3566,53.5069
TS,7,50000,5000,2000,476000,36.575,31.5076
TS,7,50000,5000,5000,560000,36.575,31.5076
TS,7,50000,10000,2000,546000,36.575,31.5076
TS,7,50000,10000,5000,630000,36.575,31.5076
TS,7,75000,5000,2000,651000,23.2226,20.536
TS,7,75000,5000,5000,735000,23.2226,20.536
TS,7,75000,10000,2000,721000,23.2226,20.536
TS,7,75000,10000,5000,805000,23.2226,20.536
TS,7,100000,5000,2000,826000,16.5565,15.0548
TS,7,100000,5000,5000,910000,16.5565,15.0548
TS,7,100000,10000,2000,896000,16.5565,15.0548
TS,7,100000,10000,5000,980000,16.5565,15.0548
